sample_idx,beat,episode,file,database
0,+,(N,cu01.csv,cudb
68,N,,cu01.csv,cudb
335,N,,cu01.csv,cudb
611,N,,cu01.csv,cudb
885,N,,cu01.csv,cudb
1146,N,,cu01.csv,cudb
1408,N,,cu01.csv,cudb
1672,N,,cu01.csv,cudb
1935,N,,cu01.csv,cudb
2198,N,,cu01.csv,cudb
2473,N,,cu01.csv,cudb
2739,N,,cu01.csv,cudb
3001,N,,cu01.csv,cudb
3267,N,,cu01.csv,cudb
3541,N,,cu01.csv,cudb
3805,N,,cu01.csv,cudb
4065,N,,cu01.csv,cudb
4347,N,,cu01.csv,cudb
4615,N,,cu01.csv,cudb
4880,N,,cu01.csv,cudb
5153,N,,cu01.csv,cudb
5429,N,,cu01.csv,cudb
5696,N,,cu01.csv,cudb
5966,N,,cu01.csv,cudb
6243,N,,cu01.csv,cudb
6508,N,,cu01.csv,cudb
6778,N,,cu01.csv,cudb
7049,N,,cu01.csv,cudb
7327,N,,cu01.csv,cudb
7599,N,,cu01.csv,cudb
7881,N,,cu01.csv,cudb
8155,N,,cu01.csv,cudb
8429,N,,cu01.csv,cudb
8703,N,,cu01.csv,cudb
8977,N,,cu01.csv,cudb
9246,N,,cu01.csv,cudb
9510,N,,cu01.csv,cudb
9785,N,,cu01.csv,cudb
10050,N,,cu01.csv,cudb
10312,N,,cu01.csv,cudb
10573,N,,cu01.csv,cudb
10842,N,,cu01.csv,cudb
11104,N,,cu01.csv,cudb
11372,N,,cu01.csv,cudb
11650,N,,cu01.csv,cudb
11922,N,,cu01.csv,cudb
12191,N,,cu01.csv,cudb
12463,N,,cu01.csv,cudb
12733,N,,cu01.csv,cudb
12996,N,,cu01.csv,cudb
13265,N,,cu01.csv,cudb
13529,N,,cu01.csv,cudb
13785,N,,cu01.csv,cudb
14049,N,,cu01.csv,cudb
14311,N,,cu01.csv,cudb
14575,N,,cu01.csv,cudb
14841,N,,cu01.csv,cudb
15102,N,,cu01.csv,cudb
15367,N,,cu01.csv,cudb
15638,N,,cu01.csv,cudb
15900,N,,cu01.csv,cudb
16159,N,,cu01.csv,cudb
16425,N,,cu01.csv,cudb
16683,N,,cu01.csv,cudb
16940,N,,cu01.csv,cudb
17210,N,,cu01.csv,cudb
17473,N,,cu01.csv,cudb
17734,N,,cu01.csv,cudb
18000,N,,cu01.csv,cudb
18265,N,,cu01.csv,cudb
18533,N,,cu01.csv,cudb
18798,N,,cu01.csv,cudb
19062,N,,cu01.csv,cudb
19329,N,,cu01.csv,cudb
19587,N,,cu01.csv,cudb
19842,N,,cu01.csv,cudb
20105,N,,cu01.csv,cudb
20365,N,,cu01.csv,cudb
20625,N,,cu01.csv,cudb
20894,N,,cu01.csv,cudb
21154,N,,cu01.csv,cudb
21417,N,,cu01.csv,cudb
21685,N,,cu01.csv,cudb
21953,N,,cu01.csv,cudb
22216,N,,cu01.csv,cudb
22479,N,,cu01.csv,cudb
22741,N,,cu01.csv,cudb
22998,N,,cu01.csv,cudb
23263,N,,cu01.csv,cudb
23529,N,,cu01.csv,cudb
23794,N,,cu01.csv,cudb
24056,N,,cu01.csv,cudb
24327,N,,cu01.csv,cudb
24599,N,,cu01.csv,cudb
24867,N,,cu01.csv,cudb
25132,N,,cu01.csv,cudb
25394,N,,cu01.csv,cudb
25667,N,,cu01.csv,cudb
25928,N,,cu01.csv,cudb
26193,N,,cu01.csv,cudb
26464,N,,cu01.csv,cudb
26733,N,,cu01.csv,cudb
26998,N,,cu01.csv,cudb
27261,N,,cu01.csv,cudb
27533,N,,cu01.csv,cudb
27798,N,,cu01.csv,cudb
28063,N,,cu01.csv,cudb
28326,N,,cu01.csv,cudb
28590,N,,cu01.csv,cudb
28851,N,,cu01.csv,cudb
29118,N,,cu01.csv,cudb
29389,N,,cu01.csv,cudb
29653,N,,cu01.csv,cudb
29926,N,,cu01.csv,cudb
30187,N,,cu01.csv,cudb
30449,N,,cu01.csv,cudb
30713,N,,cu01.csv,cudb
30967,N,,cu01.csv,cudb
31224,N,,cu01.csv,cudb
31479,N,,cu01.csv,cudb
31738,N,,cu01.csv,cudb
31989,N,,cu01.csv,cudb
32243,N,,cu01.csv,cudb
32499,N,,cu01.csv,cudb
32749,N,,cu01.csv,cudb
33010,N,,cu01.csv,cudb
33263,N,,cu01.csv,cudb
33520,N,,cu01.csv,cudb
33791,N,,cu01.csv,cudb
34059,N,,cu01.csv,cudb
34322,N,,cu01.csv,cudb
34586,N,,cu01.csv,cudb
34860,N,,cu01.csv,cudb
